analysis_id,r300957411xs080
mouse_strain,C57BL
parameter_name,Forelimb grip strength normalised against body weight
pvalue,0.4740802
gene_symbol,Nanp
mouse_life_stage,E18.5
parameter_id,HRWLLA_GRS_010_001
gene_accession_id,MGI:1914561
