analysis_id,0n1tsku996zoh46
gene_accession_id,MGI:1927232
gene_symbol,Rab13
mouse_strain,C51BL
pvalue,0.8317135
parameter_name,PP3 + pulse startle magnitude
parameter_id,ESLIM_011_001_009
mouse_life_stage,Early adult
