parameter_name,Neutrophil percentage
parameter_id,MGP_PBI_019_001
pvalue,0.7242615
gene_symbol,Traf6
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,7409t6029tm76jz
gene_accession_id,MGI:108072
