gene_symbol,Arnt
parameter_name,CV
pvalue,0.9349779
analysis_id,320a938m4nx8337
mouse_life_stage,Early adult
gene_accession_id,MGI:88071
parameter_id,IMPC_ECG_003_001
mouse_strain,C57BL
