gene_symbol,Abo
analysis_id,pzf5x0u4054wm4u
parameter_id,MGP_IMM_017_001
mouse_life_stage,Early adult
pvalue,0.5944558
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
gene_accession_id,MGI:2135738
mouse_strain,C57BL
