mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAX_SLW_013_001
pvalue,0.08844441
gene_accession_id,MGI:1332236
analysis_id,492l2537n6i5cnl
parameter_name,Breath rate during sleep mean
gene_symbol,Cds2
