gene_symbol,Cldn19
pvalue,0.2809869
parameter_name,Hindlimbs - size
analysis_id,61gp40nn5xe5gp5
parameter_id,JAXLA_CSD_022_001
mouse_strain,C57BL
gene_accession_id,MGI:3033992
mouse_life_stage,Early adult
