parameter_id,JAX_URI_002_001
pvalue,0.4792982
gene_symbol,Rab13
mouse_life_stage,Early adult
gene_accession_id,MGI:1927232
analysis_id,m3ydme46x15bnfn
parameter_name,Creatinine
mouse_strain,C57BL
