gene_symbol,Rgs20
pvalue,0.9094436
parameter_id,M-G-P_026_001_004
parameter_name,Coat colouration
analysis_id,lks0vk4j132j67p
mouse_life_stage,Early adult
gene_accession_id,MGI:1929866
mouse_strain,C57BL
