parameter_id,TCPLA_XRY_033_001
mouse_strain,C57BL
pvalue,0.7536288
mouse_life_stage,Early adult
gene_accession_id,MGI:1925049
analysis_id,9w4001508pvp038
parameter_name,Tibia length
gene_symbol,Sla2
