parameter_name,Upper teeth appearance
gene_accession_id,MGI:1345282
mouse_strain,C57BL
analysis_id,c280d72t71t25oz
pvalue,0.8174828
gene_symbol,Slc30a4
parameter_id,IMPC_CSD_069_001
mouse_life_stage,Middle aged adult
