gene_symbol,Wars2
mouse_strain,C57BL
pvalue,0.3183754
parameter_name,Eye
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_001_001
analysis_id,cits50ouviw146q
gene_accession_id,MGI:1917810
