parameter_id,IMPC_ECH_008_001
gene_symbol,Pum1
analysis_id,ia66k5qx1yjemnr
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8527657
gene_accession_id,MGI:1931749
parameter_name,LVIDd
