analysis_id,ckg2r4fqqzs523s
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_ECH_008_001
pvalue,0.3626704
gene_accession_id,MGI:1920344
parameter_name,LVIDd
gene_symbol,Sgip1
