gene_symbol,Ncaph
mouse_strain,C57BL
gene_accession_id,MGI:2444777
pvalue,0.8127149
parameter_id,IMPC_CBC_015_001
analysis_id,f47z6yc1z53e2oe
parameter_name,Total cholesterol
mouse_life_stage,Early adult
