parameter_name,Glucose
analysis_id,3y8k0pzsdz304d9
parameter_id,HMGULA_CBC_018_001
pvalue,0.5240492
gene_accession_id,MGI:1917604
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
gene_symbol,Secisbp2l
