parameter_name,Ventral coat/hair presence
gene_accession_id,MGI:1913284
mouse_life_stage,Early adult
analysis_id,le0je3i60nctndm
gene_symbol,Psmd14
parameter_id,MGP_CSD_025_001
mouse_strain,C57BL
pvalue,0.6415098
