parameter_name,Lean mass
gene_symbol,Kdm4c
analysis_id,p9355ct82ukkwb8
gene_accession_id,MGI:1924054
mouse_life_stage,Early adult
parameter_id,JAXLA_DXA_003_001
mouse_strain,C57BL
pvalue,0.09184689
