analysis_id,ll308653658xg8t
parameter_id,IMPC_XRY_066_001
pvalue,0.6625682
mouse_strain,C57BL
gene_symbol,Snap23
mouse_life_stage,Early adult
gene_accession_id,MGI:109356
parameter_name,Sacral processes
