analysis_id,k6qv110irw2y676
pvalue,0.9331963
parameter_name,Total food intake
gene_symbol,Slc45a3
gene_accession_id,MGI:1922082
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CAL_008_001
