parameter_name,center - distance
mouse_strain,C57BL
gene_accession_id,MGI:2444777
pvalue,1.058505
analysis_id,q6pjy4y3a1g88p3
parameter_id,M-G-P_007_001_010
mouse_life_stage,Early adult
gene_symbol,Ncaph
