analysis_id,9n5jd69wxw9e0qm
gene_accession_id,MGI:1914071
parameter_id,JAXLA_DXA_003_001
gene_symbol,Bcs1l
parameter_name,Lean mass
pvalue,0.2072839
mouse_strain,C57BL
mouse_life_stage,E12.5
