analysis_id,817tcn33q9t6jo3
pvalue,0.5633524
parameter_id,IMPC_EYE_001_001
parameter_name,Eye
gene_accession_id,MGI:88479
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Cpa3
