analysis_id,683c112v5h52h66
gene_accession_id,MGI:1917604
parameter_id,MGP_IMM_078_001
pvalue,0.2609766
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Resting Treg cells - % of CD45+
gene_symbol,Secisbp2l
