parameter_name,Average duration
mouse_life_stage,E12.5
analysis_id,xcmhg6y2d21fv10
mouse_strain,C57BL
pvalue,0.8334188
gene_accession_id,MGI:95457
parameter_id,JAX_ROT_002_001
gene_symbol,Mecom
