analysis_id,93s20z3thxv7j76
mouse_life_stage,Early adult
gene_symbol,Sfpq
pvalue,0.1339939
parameter_id,IMPC_GEL_029_001
gene_accession_id,MGI:1918764
parameter_name,Midbrain
mouse_strain,C57BL
