parameter_name,Fat/Body weight
gene_accession_id,MGI:1918025
analysis_id,k5dj50hdx70wg5f
parameter_id,JAXLA_DXA_009_001
pvalue,0.6812578
mouse_strain,129SV
mouse_life_stage,Early adult
gene_symbol,Zmynd8
