analysis_id,yh7zi29167970i7
gene_accession_id,MGI:1332236
mouse_strain,C57BL
pvalue,0.7563594
parameter_name,Alpha beta T cell percentage
parameter_id,MGP_PBI_002_001
mouse_life_stage,Early adult
gene_symbol,Cds2
