analysis_id,aiqw50sh2iz0qa3
mouse_strain,C57BL
parameter_id,IMPC_CBC_025_001
parameter_name,LDL-cholesterol
mouse_life_stage,Early adult
pvalue,0.9792107
gene_symbol,Casq1
gene_accession_id,MGI:1309468
