gene_symbol,Inpp1
parameter_name,Follicular B cells - % of CD45+
gene_accession_id,MGI:104848
pvalue,0.5858067
analysis_id,7l3c6p823gv07hc
mouse_life_stage,Early adult
parameter_id,MGP_IMM_112_001
mouse_strain,129SV
