analysis_id,a30w2502zemr688
parameter_id,IMPC_ACS_035_001
pvalue,0.9300412
mouse_life_stage,Early adult
parameter_name,% Pre-pulse inhibition - PPI3
gene_symbol,Dnajc5b
mouse_strain,C57BL
gene_accession_id,MGI:1913576
