analysis_id,4sy8mef40r263d0
pvalue,0.1294622
gene_accession_id,MGI:2443129
gene_symbol,Golm2
parameter_id,MGP_PBI_003_001
parameter_name,CD4+ alpha beta T cell percentage
mouse_life_stage,Early adult
mouse_strain,C57BL
