parameter_id,HMGULA_SHI_009_001
parameter_name,Startle response
gene_symbol,Gfi1b
pvalue,0.2472858
analysis_id,3nsh4u4454zji29
mouse_strain,C57BL
gene_accession_id,MGI:1276578
mouse_life_stage,Early adult
