analysis_id,w3z376u302284eo
gene_accession_id,MGI:1919949
pvalue,0.6775584
parameter_name,Weight
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Lime1
parameter_id,M-G-P_005_001_001
