parameter_name,eye size
analysis_id,a7b0d22eg4ea46i
pvalue,0.9075731
parameter_id,ESLIM_001_001_117
gene_symbol,Hpca
mouse_life_stage,Late adult
gene_accession_id,MGI:1336200
mouse_strain,C57BL
