analysis_id,z8148q2q9395825
parameter_id,IMPC_IMM_071_001
mouse_life_stage,Early adult
pvalue,0.6293104
mouse_strain,C57BL
gene_accession_id,MGI:1929242
gene_symbol,Ivd
parameter_name,MZB (CD21/35 high)
