parameter_name,Limb morphology
mouse_strain,C57BL
gene_accession_id,MGI:88479
pvalue,0.7440679
mouse_life_stage,Early adult
gene_symbol,Cpa3
parameter_id,IMPC_GEP_084_001
analysis_id,7a3wtcr9j3938d9
