parameter_name,DN CD44+CD62L+ NKT cells
parameter_id,IMPC_IMM_047_001
gene_accession_id,MGI:1919949
pvalue,0.7622846
gene_symbol,Lime1
analysis_id,8qc78yj6q8kxf5r
mouse_strain,C57BL
mouse_life_stage,Early adult
