analysis_id,amf1raz7ax79g3y
mouse_strain,C57BL
mouse_life_stage,E9.5
gene_symbol,Dmap1
gene_accession_id,MGI:1913483
pvalue,0.5878341
parameter_name,Effector Treg cells - % of Treg
parameter_id,MGP_IMM_010_001
