parameter_name,Hemoglobin
pvalue,0.19956
mouse_life_stage,Early adult
analysis_id,iw4qf8mn6ajo2y4
gene_accession_id,MGI:1913284
mouse_strain,C57BL
gene_symbol,Psmd14
parameter_id,IMPC_HEM_003_001
