parameter_name,Alanine aminotransferase
gene_symbol,Lpgat1
pvalue,0.3302376
gene_accession_id,MGI:2446186
mouse_life_stage,Middle aged adult
parameter_id,IMPC_CBC_013_001
analysis_id,6vqknc64bdeuz29
mouse_strain,C57BL
