analysis_id,v8w17tc0zop3m8r
pvalue,0.8710098
gene_symbol,Snap23
parameter_name,Platelet count
mouse_life_stage,Late adult
mouse_strain,C57BL
parameter_id,IMPC_HEM_008_001
gene_accession_id,MGI:109356
