analysis_id,a224733b5h3ghgh
mouse_life_stage,Early adult
gene_symbol,Gja10
gene_accession_id,MGI:1339969
pvalue,0.1078984
mouse_strain,C57BL
parameter_id,IMPC_CBC_058_001
parameter_name,Cholesterol ratio
