parameter_name,Embryo Size
mouse_life_stage,Early adult
gene_accession_id,MGI:1332236
analysis_id,84p887a04h7ay5l
pvalue,0.1164137
gene_symbol,Cds2
parameter_id,IMPC_GEP_022_001
mouse_strain,129SV
