Parameter_name,Heart looping
Pvalue,0.9385904
mouse_strain,C57BL
Gene_symbol,Trim46
Parameter_id,IMPC_GEL_057_001
Gene_accession_id,MGI:2673000
Mouse_life_stage,Early adult
Analysis_id,3e51q9kyd93431w
