gene_symbol,Nucks1
pvalue,0.242436
parameter_name,% Freezing duration pre-cue-2
parameter_id,ICS_FEA_019_001
mouse_strain,C57BL
gene_accession_id,MGI:1934811
analysis_id,svn6q983700k872
mouse_life_stage,Early adult
