analysis_id,54otrtwlu44pc22
parameter_name,Hindlimbs - size
gene_symbol,Sla2
pvalue,0.2574461
mouse_strain,C57BL
gene_accession_id,MGI:1925049
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_022_001
