parameter_name,White blood cell-count
mouse_strain,C57BL
analysis_id,dchsac056j9jtkr
gene_symbol,Zmynd8
mouse_life_stage,Early adult
gene_accession_id,MGI:1918025
pvalue,0.07316759
parameter_id,M-G-P_016_001_001
