analysis_id,6xpu6maj5id4u3l
pvalue,0.5526718
gene_accession_id,MGI:2446186
mouse_life_stage,Late adult
parameter_id,IMPC_XRY_002_001
parameter_name,Zygomatic bone
gene_symbol,Lpgat1
mouse_strain,C57BL
