analysis_id,1h4y3105ros7c79
mouse_strain,C57BL
gene_symbol,Eprs1
gene_accession_id,MGI:97838
parameter_id,JAXLA_CSD_077_001
parameter_name,Contact righting
mouse_life_stage,E9.5
pvalue,0.5384425
