parameter_name,Left total retinal thickness
parameter_id,IMPC_EYE_068_001
gene_accession_id,MGI:109356
pvalue,1.284648
gene_symbol,Snap23
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
analysis_id,ed3g027vie60270
