parameter_name,Creatinine
gene_symbol,Gpbp1l1
mouse_strain,C57BL
analysis_id,18j4m4twji35r2g
pvalue,0.1390419
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_005_001
gene_accession_id,MGI:1924360
