analysis_id,fny6mw693whm38c
parameter_name,Follicular B Cells (CD21/35+)
mouse_life_stage,Middle aged adult
parameter_id,IMPC_IMM_067_001
gene_accession_id,MGI:1917604
pvalue,0.1118767
gene_symbol,Secisbp2l
mouse_strain,C57BL
