analysis_id,jg5o5226qtu8ffr
parameter_id,MGP_MLN_009_001
pvalue,0.2917068
parameter_name,Effector Treg cells - % of Treg
gene_symbol,Arpc2
gene_accession_id,MGI:1923959
mouse_strain,129SV
mouse_life_stage,Early adult
