analysis_id,8mgbq9cn3q7hu3m
mouse_life_stage,Early adult
pvalue,1.131986
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
parameter_name,Breath rate during sleep mean
parameter_id,JAX_SLW_013_001
mouse_strain,C57BL
