gene_symbol,Cmpk1
parameter_name,Glucose
pvalue,0.5315546
analysis_id,88r0716332g0xel
gene_accession_id,MGI:1913838
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_018_001
