parameter_name,Vibrissae - appearance
gene_symbol,Slc30a4
analysis_id,f30674ld6y5xa10
pvalue,0.8649715
gene_accession_id,MGI:1345282
mouse_strain,C57BL
parameter_id,HMGULA_DYS_024_001
mouse_life_stage,Early adult
