analysis_id,1oc5z3b8i56urx7
mouse_life_stage,Early adult
parameter_id,ESLIM_001_001_117
gene_symbol,Trdmt1
gene_accession_id,MGI:1274787
mouse_strain,C57BL
pvalue,0.8322531
parameter_name,eye size
