analysis_id,q3488n5a25oxu6z
mouse_life_stage,Early adult
pvalue,0.09383541
parameter_id,IMPC_ECG_004_001
mouse_strain,129SV
gene_symbol,Mms22l
parameter_name,RR
gene_accession_id,MGI:2684980
