parameter_name,Retinal Blood Vessels Structure
mouse_strain,C57BL
analysis_id,vwcto4136lg49t4
gene_accession_id,MGI:2685277
gene_symbol,Zyg11b
parameter_id,IMPC_EYE_025_001
pvalue,0.1751221
mouse_life_stage,E18.5
