parameter_name,Heart weight
analysis_id,gm0izsj72g0yj99
mouse_life_stage,Early adult
pvalue,1.672247e-07
gene_symbol,Exd1
mouse_strain,C57BL
gene_accession_id,MGI:3045306
parameter_id,IMPC_HWT_008_001
