parameter_name,Heart looping
gene_symbol,Cpa3
pvalue,0.846092
mouse_strain,C57BL
parameter_id,IMPC_GEL_057_001
mouse_life_stage,Early adult
gene_accession_id,MGI:88479
analysis_id,j4b1qps3et5ecm3
