gene_symbol,Nr0b2
parameter_id,M-G-P_009_001_003
parameter_name,Body weight
analysis_id,6uearv80f4xa802
pvalue,0.2105863
gene_accession_id,MGI:1346344
mouse_life_stage,Early adult
mouse_strain,B6J
