gene_symbol,Slx4ip
parameter_id,IMPC_IMM_025_001
analysis_id,ljz24069m8dx70q
gene_accession_id,MGI:1921493
mouse_life_stage,Early adult
pvalue,0.1945877
parameter_name,DN CD25- NKT cells
mouse_strain,C57BL
